Predicted,Actual
2110.679,2073.89
1697.143,1688.58
4258.442999999999,4268.15
861.9039999999999,859.2
1458.936,1416.78
890.033,893.5
3067.9669999999996,2994.97
19697.894,19308.69
1923.0439999999999,1940.34
2265.95,2267.72
4406.15,4531.68
2826.889,2934.15
2769.8869999999997,2725.39
719.5889999999999,723.83
3026.158,3030.76
1835.6470000000002,1806.53
2775.868,2726.12
1145.3319999999999,1105.59
1312.673,1304.05
4177.321999999999,4119.2
4597.455,4474.49
493.59299999999996,479.96
714.7760000000001,693.8
1043.826,1028.77
1195.3020000000001,1058.14
527.5939999999999,498.73
732.519,689.22
9909.432,10341.97
4373.101000000001,4330.78
196.89899999999997,163.11
2411.2769999999996,2393.9
1644.7540000000001,1646.87
4373.492,4381.6
5043.866,5070.26
1934.7240000000002,1914.35
2428.0029999999997,2462.36
3899.118,4075.26
5663.404,5437.31
1031.4990000000003,1010.52
806.9090000000001,814.61
4118.943,4006.83
2869.6430000000005,2864.86
5868.781,6252.64
2583.8099999999995,2581.07
10412.684,10619.19
1586.9089999999997,1560.91
16120.475,14629.38
3933.816,4032.28
1130.4909999999995,1104.58
2534.7110000000002,2526.9
2132.6490000000003,2075.41
973.872,972.64
2539.3989999999994,2512.03
3044.347,3039.53
1606.892,1733.67
1836.1950000000002,1827.19
3014.048,3006.86
6270.639,6433.14
4039.9549999999995,4163.49
805.739,802.94
15135.351999999999,15781.35
3382.792,3405.09
6820.418000000001,6987.01
18666.867000000002,18368.34
3386.393,3452.47
1845.6770000000004,1821.14
3995.428,4072.47
640.798,609.14
1205.529,1223.08
942.061,940.98
2891.046,2821.05
1635.611,1636.0
1702.5080000000003,1687.67
1167.337,1199.34
1843.3390000000004,1885.54
9412.753,9084.0
1549.786,1539.97
405.41399999999993,423.77
2127.1690000000003,2144.39
12899.655000000002,13070.84
593.908,591.48
1105.3970000000002,1074.7
9557.843000000003,9884.69
7918.683999999999,7996.8
1576.3999999999999,1568.72
4756.121,4690.1
1007.835,988.66
2324.8810000000003,2326.57
1117.3389999999997,1119.05
3063.13,3069.91
3245.141,3168.58
4946.307000000001,4637.19
5151.553,5082.79
1476.759,1461.84
6108.129999999999,6123.67
4875.128,4986.05
1186.495,1205.33
1339.404,1347.38
2411.5879999999997,2423.46
1799.0539999999996,1795.46
4211.74,4221.98
2720.415,2730.7
7908.490999999999,7866.08
834.0289999999999,867.44
4622.679000000001,4567.38
3685.004,3674.2
3069.668,3101.74
502.03100000000006,518.57
3889.423,3996.57
731.34,694.98
2348.6259999999997,2307.57
670.9010000000001,659.17
3080.9720000000007,3102.94
607.646,625.57
1481.8990000000001,1473.55
2139.5329999999994,2140.22
887.2969999999999,875.04
3859.847,3960.97
1403.118,1384.81
2113.909,2113.74
1860.6689999999999,1868.15
2184.4299999999994,2195.84
4101.284000000001,4067.01
2514.172,2501.25
3202.9410000000003,3262.18
546.737,548.29
7228.556999999999,7236.35
4697.216,4706.54
806.4860000000001,811.17
1892.8219999999997,1915.37
592.402,611.59
399.16099999999994,373.76
2328.763,2297.97
1448.8239999999998,1444.34
2752.1280000000006,2731.15
2593.816,2600.32
13393.628000000002,13694.44
2086.343,2066.45
1960.8039999999996,1985.16
1553.759,1574.59
2667.973,2645.54
